timestamp_offset,node_id,thermal_score,visual_score,image_filename,lat,lng
57,DRONE-FLAME-01,0.17,0.00,,35.142570,-111.649430
58,DRONE-FLAME-01,0.23,0.00,,35.142580,-111.649420
59,DRONE-FLAME-01,0.18,0.00,,35.142590,-111.649410
60,DRONE-FLAME-01,0.21,0.00,,35.142600,-111.649400
61,DRONE-FLAME-01,0.23,0.00,,35.142610,-111.649390
62,DRONE-FLAME-01,0.20,0.00,,35.142620,-111.649380
63,DRONE-FLAME-01,0.23,0.00,,35.142630,-111.649370
64,DRONE-FLAME-01,0.22,0.00,,35.142640,-111.649360
65,DRONE-FLAME-01,0.17,0.00,,35.142650,-111.649350
66,DRONE-FLAME-01,0.19,0.00,,35.142660,-111.649340
67,DRONE-FLAME-01,0.19,0.00,,35.142670,-111.649330
68,DRONE-FLAME-01,0.20,0.00,,35.142680,-111.649320
69,DRONE-FLAME-01,0.15,0.00,,35.142690,-111.649310
70,DRONE-FLAME-01,0.24,0.00,,35.142700,-111.649300
71,DRONE-FLAME-01,0.16,0.00,,35.142710,-111.649290
72,DRONE-FLAME-01,0.25,0.00,,35.142720,-111.649280
73,DRONE-FLAME-01,0.22,0.00,,35.142730,-111.649270
74,DRONE-FLAME-01,0.16,0.00,,35.142740,-111.649260
75,DRONE-FLAME-01,0.16,0.00,,35.142750,-111.649250
76,DRONE-FLAME-01,0.19,0.00,,35.142760,-111.649240
77,DRONE-FLAME-01,0.25,0.00,,35.142770,-111.649230
78,DRONE-FLAME-01,0.23,0.00,,35.142780,-111.649220
79,DRONE-FLAME-01,0.20,0.00,,35.142790,-111.649210
80,DRONE-FLAME-01,0.17,0.00,,35.142800,-111.649200
81,DRONE-FLAME-01,0.19,0.00,,35.142810,-111.649190
82,DRONE-FLAME-01,0.17,0.00,,35.142820,-111.649180
83,DRONE-FLAME-01,0.23,0.00,,35.142830,-111.649170
84,DRONE-FLAME-01,0.19,0.00,,35.142840,-111.649160
85,DRONE-FLAME-01,0.23,0.00,,35.142850,-111.649150
86,DRONE-FLAME-01,0.21,0.00,,35.142860,-111.649140
87,DRONE-FLAME-01,0.17,0.00,,35.142870,-111.649130
88,DRONE-FLAME-01,0.19,0.00,,35.142880,-111.649120
89,DRONE-FLAME-01,0.22,0.00,,35.142890,-111.649110
90,DRONE-FLAME-01,0.16,0.00,,35.142900,-111.649100
91,DRONE-FLAME-01,0.24,0.00,,35.142910,-111.649090
92,DRONE-FLAME-01,0.20,0.00,,35.142920,-111.649080
93,DRONE-FLAME-01,0.21,0.00,,35.142930,-111.649070
94,DRONE-FLAME-01,0.17,0.00,,35.142940,-111.649060
95,DRONE-FLAME-01,0.19,0.00,,35.142950,-111.649050
96,DRONE-FLAME-01,0.20,0.00,,35.142960,-111.649040
97,DRONE-FLAME-01,0.17,0.00,,35.142970,-111.649030
98,DRONE-FLAME-01,0.18,0.00,,35.142980,-111.649020
99,DRONE-FLAME-01,0.23,0.00,,35.142990,-111.649010
100,DRONE-FLAME-01,0.18,0.00,,35.143000,-111.649000
101,DRONE-FLAME-01,0.23,0.00,,35.143010,-111.648990
102,DRONE-FLAME-01,0.19,0.00,,35.143020,-111.648980
103,DRONE-FLAME-01,0.24,0.00,,35.143030,-111.648970
104,DRONE-FLAME-01,0.25,0.00,,35.143040,-111.648960
105,DRONE-FLAME-01,0.15,0.00,,35.143050,-111.648950
106,DRONE-FLAME-01,0.22,0.00,,35.143060,-111.648940
107,DRONE-FLAME-01,0.22,0.00,,35.143070,-111.648930
108,DRONE-FLAME-01,0.19,0.00,,35.143080,-111.648920
109,DRONE-FLAME-01,0.17,0.00,,35.143090,-111.648910
110,DRONE-FLAME-01,0.16,0.00,,35.143100,-111.648900
111,DRONE-FLAME-01,0.19,0.00,,35.143110,-111.648890
112,DRONE-FLAME-01,0.20,0.00,,35.143120,-111.648880
113,DRONE-FLAME-01,0.19,0.00,,35.143130,-111.648870
114,DRONE-FLAME-01,0.22,0.00,,35.143140,-111.648860
115,DRONE-FLAME-01,0.17,0.00,,35.143150,-111.648850
116,DRONE-FLAME-01,0.24,0.00,,35.143160,-111.648840
117,DRONE-FLAME-01,0.23,0.00,,35.143170,-111.648830
118,DRONE-FLAME-01,0.20,0.00,,35.143180,-111.648820
119,DRONE-FLAME-01,0.24,0.00,,35.143190,-111.648810
120,DRONE-FLAME-01,0.16,0.00,,35.143200,-111.648800
121,DRONE-FLAME-01,0.16,0.00,,35.143210,-111.648790
122,DRONE-FLAME-01,0.25,0.00,,35.143220,-111.648780
123,DRONE-FLAME-01,0.17,0.00,,35.143230,-111.648770
124,DRONE-FLAME-01,0.22,0.00,,35.143240,-111.648760
125,DRONE-FLAME-01,0.20,0.00,,35.143250,-111.648750
126,DRONE-FLAME-01,0.21,0.00,,35.143260,-111.648740
127,DRONE-FLAME-01,0.17,0.00,,35.143270,-111.648730
128,DRONE-FLAME-01,0.21,0.00,,35.143280,-111.648720
129,DRONE-FLAME-01,0.16,0.00,,35.143290,-111.648710
130,DRONE-FLAME-01,0.19,0.00,,35.143300,-111.648700
131,DRONE-FLAME-01,0.20,0.00,,35.143310,-111.648690
132,DRONE-FLAME-01,0.18,0.00,,35.143320,-111.648680
133,DRONE-FLAME-01,0.17,0.00,,35.143330,-111.648670
134,DRONE-FLAME-01,0.19,0.00,,35.143340,-111.648660
135,DRONE-FLAME-01,0.15,0.00,,35.143350,-111.648650
136,DRONE-FLAME-01,0.19,0.00,,35.143360,-111.648640
137,DRONE-FLAME-01,0.15,0.00,,35.143370,-111.648630
138,DRONE-FLAME-01,0.25,0.00,,35.143380,-111.648620
139,DRONE-FLAME-01,0.17,0.00,,35.143390,-111.648610
140,DRONE-FLAME-01,0.25,0.00,,35.143400,-111.648600
141,DRONE-FLAME-01,0.25,0.00,,35.143410,-111.648590
142,DRONE-FLAME-01,0.16,0.00,,35.143420,-111.648580
143,DRONE-FLAME-01,0.24,0.00,,35.143430,-111.648570
144,DRONE-FLAME-01,0.21,0.00,,35.143440,-111.648560
145,DRONE-FLAME-01,0.18,0.00,,35.143450,-111.648550
146,DRONE-FLAME-01,0.24,0.00,,35.143460,-111.648540
147,DRONE-FLAME-01,0.16,0.00,,35.143470,-111.648530
148,DRONE-FLAME-01,0.17,0.00,,35.143480,-111.648520
149,DRONE-FLAME-01,0.17,0.00,,35.143490,-111.648510
150,DRONE-FLAME-01,0.16,0.00,,35.143500,-111.648500
151,DRONE-FLAME-01,0.19,0.00,,35.143510,-111.648490
152,DRONE-FLAME-01,0.20,0.00,,35.143520,-111.648480
153,DRONE-FLAME-01,0.24,0.00,,35.143530,-111.648470
154,DRONE-FLAME-01,0.16,0.00,,35.143540,-111.648460
155,DRONE-FLAME-01,0.22,0.00,,35.143550,-111.648450
156,DRONE-FLAME-01,0.20,0.00,,35.143560,-111.648440
157,DRONE-FLAME-01,0.17,0.00,,35.143570,-111.648430
158,DRONE-FLAME-01,0.19,0.00,,35.143580,-111.648420
159,DRONE-FLAME-01,0.23,0.00,,35.143590,-111.648410
160,DRONE-FLAME-01,0.25,0.00,,35.143600,-111.648400
161,DRONE-FLAME-01,0.18,0.00,,35.143610,-111.648390
162,DRONE-FLAME-01,0.25,0.00,,35.143620,-111.648380
163,DRONE-FLAME-01,0.25,0.00,,35.143630,-111.648370
164,DRONE-FLAME-01,0.19,0.00,,35.143640,-111.648360
165,DRONE-FLAME-01,0.16,0.00,,35.143650,-111.648350
166,DRONE-FLAME-01,0.24,0.00,,35.143660,-111.648340
167,DRONE-FLAME-01,0.17,0.00,,35.143670,-111.648330
168,DRONE-FLAME-01,0.23,0.00,,35.143680,-111.648320
169,DRONE-FLAME-01,0.17,0.00,,35.143690,-111.648310
170,DRONE-FLAME-01,0.22,0.00,,35.143700,-111.648300
171,DRONE-FLAME-01,0.17,0.00,,35.143710,-111.648290
172,DRONE-FLAME-01,0.19,0.00,,35.143720,-111.648280
173,DRONE-FLAME-01,0.24,0.00,,35.143730,-111.648270
174,DRONE-FLAME-01,0.18,0.00,,35.143740,-111.648260
175,DRONE-FLAME-01,0.16,0.00,,35.143750,-111.648250
176,DRONE-FLAME-01,0.23,0.00,,35.143760,-111.648240
177,DRONE-FLAME-01,0.19,0.00,,35.143770,-111.648230
178,DRONE-FLAME-01,0.22,0.00,,35.143780,-111.648220
179,DRONE-FLAME-01,0.22,0.00,,35.143790,-111.648210
180,DRONE-FLAME-01,0.19,0.00,,35.143800,-111.648200
181,DRONE-FLAME-01,0.20,0.00,,35.143810,-111.648190
182,DRONE-FLAME-01,0.17,0.00,,35.143820,-111.648180
183,DRONE-FLAME-01,0.23,0.00,,35.143830,-111.648170
184,DRONE-FLAME-01,0.24,0.00,,35.143840,-111.648160
185,DRONE-FLAME-01,0.24,0.00,,35.143850,-111.648150
186,DRONE-FLAME-01,0.19,0.00,,35.143860,-111.648140
187,DRONE-FLAME-01,0.23,0.00,,35.143870,-111.648130
188,DRONE-FLAME-01,0.16,0.00,,35.143880,-111.648120
189,DRONE-FLAME-01,0.19,0.00,,35.143890,-111.648110
190,DRONE-FLAME-01,0.24,0.00,,35.143900,-111.648100
191,DRONE-FLAME-01,0.23,0.00,,35.143910,-111.648090
192,DRONE-FLAME-01,0.19,0.00,,35.143920,-111.648080
193,DRONE-FLAME-01,0.22,0.00,,35.143930,-111.648070
194,DRONE-FLAME-01,0.23,0.00,,35.143940,-111.648060
195,DRONE-FLAME-01,0.22,0.00,,35.143950,-111.648050
196,DRONE-FLAME-01,0.24,0.00,,35.143960,-111.648040
197,DRONE-FLAME-01,0.19,0.00,,35.143970,-111.648030
198,DRONE-FLAME-01,0.19,0.00,,35.143980,-111.648020
199,DRONE-FLAME-01,0.21,0.00,,35.143990,-111.648010
200,DRONE-FLAME-01,0.84,0.90,fire_frame_200.jpg,35.144000,-111.648000
201,DRONE-FLAME-01,0.86,0.90,,35.144010,-111.647990
202,DRONE-FLAME-01,0.76,0.90,,35.144020,-111.647980
203,DRONE-FLAME-01,0.78,0.90,,35.144030,-111.647970
204,DRONE-FLAME-01,0.79,0.90,,35.144040,-111.647960
205,DRONE-FLAME-01,0.86,0.90,,35.144050,-111.647950
206,DRONE-FLAME-01,0.72,0.90,,35.144060,-111.647940
207,DRONE-FLAME-01,0.86,0.90,,35.144070,-111.647930
208,DRONE-FLAME-01,0.87,0.90,,35.144080,-111.647920
209,DRONE-FLAME-01,0.73,0.90,,35.144090,-111.647910
210,DRONE-FLAME-01,0.81,0.90,fire_frame_210.jpg,35.144100,-111.647900
211,DRONE-FLAME-01,0.73,0.90,,35.144110,-111.647890
212,DRONE-FLAME-01,0.74,0.90,,35.144120,-111.647880
213,DRONE-FLAME-01,0.87,0.90,,35.144130,-111.647870
214,DRONE-FLAME-01,0.88,0.90,,35.144140,-111.647860
215,DRONE-FLAME-01,0.82,0.90,,35.144150,-111.647850
216,DRONE-FLAME-01,0.80,0.90,,35.144160,-111.647840
217,DRONE-FLAME-01,0.88,0.90,,35.144170,-111.647830
218,DRONE-FLAME-01,0.77,0.90,,35.144180,-111.647820
219,DRONE-FLAME-01,0.79,0.90,,35.144190,-111.647810
220,DRONE-FLAME-01,0.87,0.90,fire_frame_220.jpg,35.144200,-111.647800
221,DRONE-FLAME-01,0.71,0.90,,35.144210,-111.647790
222,DRONE-FLAME-01,0.89,0.90,,35.144220,-111.647780
223,DRONE-FLAME-01,0.73,0.90,,35.144230,-111.647770
224,DRONE-FLAME-01,0.74,0.90,,35.144240,-111.647760
225,DRONE-FLAME-01,0.78,0.90,,35.144250,-111.647750
226,DRONE-FLAME-01,0.83,0.90,,35.144260,-111.647740
227,DRONE-FLAME-01,0.78,0.90,,35.144270,-111.647730
228,DRONE-FLAME-01,0.86,0.90,,35.144280,-111.647720
229,DRONE-FLAME-01,0.71,0.90,,35.144290,-111.647710
230,DRONE-FLAME-01,0.73,0.90,fire_frame_230.jpg,35.144300,-111.647700
231,DRONE-FLAME-01,0.71,0.90,,35.144310,-111.647690
232,DRONE-FLAME-01,0.88,0.90,,35.144320,-111.647680
233,DRONE-FLAME-01,0.80,0.90,,35.144330,-111.647670
234,DRONE-FLAME-01,0.83,0.90,,35.144340,-111.647660
235,DRONE-FLAME-01,0.89,0.90,,35.144350,-111.647650
236,DRONE-FLAME-01,0.87,0.90,,35.144360,-111.647640
237,DRONE-FLAME-01,0.88,0.90,,35.144370,-111.647630
238,DRONE-FLAME-01,0.73,0.90,,35.144380,-111.647620
239,DRONE-FLAME-01,0.76,0.90,,35.144390,-111.647610
240,DRONE-FLAME-01,0.88,0.90,fire_frame_240.jpg,35.144400,-111.647600
241,DRONE-FLAME-01,0.79,0.90,,35.144410,-111.647590
242,DRONE-FLAME-01,0.74,0.90,,35.144420,-111.647580
243,DRONE-FLAME-01,0.76,0.90,,35.144430,-111.647570
244,DRONE-FLAME-01,0.75,0.90,,35.144440,-111.647560
245,DRONE-FLAME-01,0.71,0.90,,35.144450,-111.647550
246,DRONE-FLAME-01,0.76,0.90,,35.144460,-111.647540
247,DRONE-FLAME-01,0.72,0.90,,35.144470,-111.647530
248,DRONE-FLAME-01,0.80,0.90,,35.144480,-111.647520
249,DRONE-FLAME-01,0.80,0.90,,35.144490,-111.647510
250,DRONE-FLAME-01,0.78,0.90,fire_frame_250.jpg,35.144500,-111.647500
251,DRONE-FLAME-01,0.78,0.90,,35.144510,-111.647490
252,DRONE-FLAME-01,0.81,0.90,,35.144520,-111.647480
253,DRONE-FLAME-01,0.84,0.90,,35.144530,-111.647470
254,DRONE-FLAME-01,0.73,0.90,,35.144540,-111.647460
255,DRONE-FLAME-01,0.78,0.90,,35.144550,-111.647450
256,DRONE-FLAME-01,0.85,0.90,,35.144560,-111.647440
257,DRONE-FLAME-01,0.79,0.90,,35.144570,-111.647430
258,DRONE-FLAME-01,0.80,0.90,,35.144580,-111.647420
259,DRONE-FLAME-01,0.88,0.90,,35.144590,-111.647410
260,DRONE-FLAME-01,0.73,0.90,fire_frame_260.jpg,35.144600,-111.647400
261,DRONE-FLAME-01,0.76,0.90,,35.144610,-111.647390
262,DRONE-FLAME-01,0.86,0.90,,35.144620,-111.647380
263,DRONE-FLAME-01,0.74,0.90,,35.144630,-111.647370
264,DRONE-FLAME-01,0.80,0.90,,35.144640,-111.647360
265,DRONE-FLAME-01,0.87,0.90,,35.144650,-111.647350
266,DRONE-FLAME-01,0.81,0.90,,35.144660,-111.647340
267,DRONE-FLAME-01,0.82,0.90,,35.144670,-111.647330
268,DRONE-FLAME-01,0.81,0.90,,35.144680,-111.647320
269,DRONE-FLAME-01,0.70,0.90,,35.144690,-111.647310
270,DRONE-FLAME-01,0.71,0.90,fire_frame_270.jpg,35.144700,-111.647300
271,DRONE-FLAME-01,0.78,0.90,,35.144710,-111.647290
272,DRONE-FLAME-01,0.73,0.90,,35.144720,-111.647280
273,DRONE-FLAME-01,0.79,0.90,,35.144730,-111.647270
274,DRONE-FLAME-01,0.85,0.90,,35.144740,-111.647260
275,DRONE-FLAME-01,0.82,0.90,,35.144750,-111.647250
276,DRONE-FLAME-01,0.76,0.90,,35.144760,-111.647240
277,DRONE-FLAME-01,0.74,0.90,,35.144770,-111.647230
278,DRONE-FLAME-01,0.72,0.90,,35.144780,-111.647220
279,DRONE-FLAME-01,0.73,0.90,,35.144790,-111.647210
280,DRONE-FLAME-01,0.80,0.90,fire_frame_280.jpg,35.144800,-111.647200
281,DRONE-FLAME-01,0.75,0.90,,35.144810,-111.647190
282,DRONE-FLAME-01,0.72,0.90,,35.144820,-111.647180
283,DRONE-FLAME-01,0.84,0.90,,35.144830,-111.647170
284,DRONE-FLAME-01,0.72,0.90,,35.144840,-111.647160
285,DRONE-FLAME-01,0.77,0.90,,35.144850,-111.647150
286,DRONE-FLAME-01,0.87,0.90,,35.144860,-111.647140
287,DRONE-FLAME-01,0.72,0.90,,35.144870,-111.647130
288,DRONE-FLAME-01,0.75,0.90,,35.144880,-111.647120
289,DRONE-FLAME-01,0.85,0.90,,35.144890,-111.647110
290,DRONE-FLAME-01,0.85,0.90,fire_frame_290.jpg,35.144900,-111.647100
291,DRONE-FLAME-01,0.84,0.90,,35.144910,-111.647090
292,DRONE-FLAME-01,0.86,0.90,,35.144920,-111.647080
293,DRONE-FLAME-01,0.70,0.90,,35.144930,-111.647070
294,DRONE-FLAME-01,0.74,0.90,,35.144940,-111.647060
295,DRONE-FLAME-01,0.80,0.90,,35.144950,-111.647050
296,DRONE-FLAME-01,0.88,0.90,,35.144960,-111.647040
297,DRONE-FLAME-01,0.80,0.90,,35.144970,-111.647030
298,DRONE-FLAME-01,0.76,0.90,,35.144980,-111.647020
299,DRONE-FLAME-01,0.89,0.90,,35.144990,-111.647010
300,DRONE-FLAME-01,0.89,0.90,fire_frame_300.jpg,35.145000,-111.647000
301,DRONE-FLAME-01,0.88,0.90,,35.145010,-111.646990
302,DRONE-FLAME-01,0.80,0.90,,35.145020,-111.646980
303,DRONE-FLAME-01,0.72,0.90,,35.145030,-111.646970
304,DRONE-FLAME-01,0.74,0.90,,35.145040,-111.646960
305,DRONE-FLAME-01,0.89,0.90,,35.145050,-111.646950
306,DRONE-FLAME-01,0.85,0.90,,35.145060,-111.646940
307,DRONE-FLAME-01,0.73,0.90,,35.145070,-111.646930
308,DRONE-FLAME-01,0.84,0.90,,35.145080,-111.646920
309,DRONE-FLAME-01,0.87,0.90,,35.145090,-111.646910
310,DRONE-FLAME-01,0.84,0.90,fire_frame_310.jpg,35.145100,-111.646900
311,DRONE-FLAME-01,0.82,0.90,,35.145110,-111.646890
312,DRONE-FLAME-01,0.86,0.90,,35.145120,-111.646880
313,DRONE-FLAME-01,0.74,0.90,,35.145130,-111.646870
314,DRONE-FLAME-01,0.88,0.90,,35.145140,-111.646860
315,DRONE-FLAME-01,0.73,0.90,,35.145150,-111.646850
316,DRONE-FLAME-01,0.90,0.90,,35.145160,-111.646840
317,DRONE-FLAME-01,0.86,0.90,,35.145170,-111.646830
318,DRONE-FLAME-01,0.77,0.90,,35.145180,-111.646820
319,DRONE-FLAME-01,0.87,0.90,,35.145190,-111.646810
320,DRONE-FLAME-01,0.74,0.90,fire_frame_320.jpg,35.145200,-111.646800
321,DRONE-FLAME-01,0.83,0.90,,35.145210,-111.646790
322,DRONE-FLAME-01,0.82,0.90,,35.145220,-111.646780
323,DRONE-FLAME-01,0.77,0.90,,35.145230,-111.646770
324,DRONE-FLAME-01,0.89,0.90,,35.145240,-111.646760
325,DRONE-FLAME-01,0.72,0.90,,35.145250,-111.646750
326,DRONE-FLAME-01,0.80,0.90,,35.145260,-111.646740
327,DRONE-FLAME-01,0.73,0.90,,35.145270,-111.646730
328,DRONE-FLAME-01,0.84,0.90,,35.145280,-111.646720
329,DRONE-FLAME-01,0.88,0.90,,35.145290,-111.646710
330,DRONE-FLAME-01,0.85,0.90,fire_frame_330.jpg,35.145300,-111.646700
331,DRONE-FLAME-01,0.75,0.90,,35.145310,-111.646690
332,DRONE-FLAME-01,0.79,0.90,,35.145320,-111.646680
333,DRONE-FLAME-01,0.80,0.90,,35.145330,-111.646670
334,DRONE-FLAME-01,0.77,0.90,,35.145340,-111.646660
335,DRONE-FLAME-01,0.70,0.90,,35.145350,-111.646650
336,DRONE-FLAME-01,0.77,0.90,,35.145360,-111.646640
337,DRONE-FLAME-01,0.76,0.90,,35.145370,-111.646630
338,DRONE-FLAME-01,0.85,0.90,,35.145380,-111.646620
339,DRONE-FLAME-01,0.81,0.90,,35.145390,-111.646610
340,DRONE-FLAME-01,0.74,0.90,fire_frame_340.jpg,35.145400,-111.646600
341,DRONE-FLAME-01,0.88,0.90,,35.145410,-111.646590
342,DRONE-FLAME-01,0.89,0.90,,35.145420,-111.646580
343,DRONE-FLAME-01,0.81,0.90,,35.145430,-111.646570
344,DRONE-FLAME-01,0.84,0.90,,35.145440,-111.646560
345,DRONE-FLAME-01,0.72,0.90,,35.145450,-111.646550
346,DRONE-FLAME-01,0.81,0.90,,35.145460,-111.646540
347,DRONE-FLAME-01,0.83,0.90,,35.145470,-111.646530
348,DRONE-FLAME-01,0.76,0.90,,35.145480,-111.646520
349,DRONE-FLAME-01,0.71,0.90,,35.145490,-111.646510
350,DRONE-FLAME-01,0.84,0.90,fire_frame_350.jpg,35.145500,-111.646500
351,DRONE-FLAME-01,0.84,0.90,,35.145510,-111.646490
352,DRONE-FLAME-01,0.70,0.90,,35.145520,-111.646480
353,DRONE-FLAME-01,0.87,0.90,,35.145530,-111.646470
354,DRONE-FLAME-01,0.76,0.90,,35.145540,-111.646460
355,DRONE-FLAME-01,0.83,0.90,,35.145550,-111.646450
356,DRONE-FLAME-01,0.87,0.90,,35.145560,-111.646440
357,DRONE-FLAME-01,0.83,0.90,,35.145570,-111.646430
358,DRONE-FLAME-01,0.75,0.90,,35.145580,-111.646420
359,DRONE-FLAME-01,0.88,0.90,,35.145590,-111.646410
360,DRONE-FLAME-01,0.89,0.90,fire_frame_360.jpg,35.145600,-111.646400
361,DRONE-FLAME-01,0.82,0.90,,35.145610,-111.646390
362,DRONE-FLAME-01,0.82,0.90,,35.145620,-111.646380
363,DRONE-FLAME-01,0.78,0.90,,35.145630,-111.646370
364,DRONE-FLAME-01,0.70,0.90,,35.145640,-111.646360
365,DRONE-FLAME-01,0.82,0.90,,35.145650,-111.646350
366,DRONE-FLAME-01,0.89,0.90,,35.145660,-111.646340
367,DRONE-FLAME-01,0.85,0.90,,35.145670,-111.646330
368,DRONE-FLAME-01,0.88,0.90,,35.145680,-111.646320
369,DRONE-FLAME-01,0.81,0.90,,35.145690,-111.646310
370,DRONE-FLAME-01,0.76,0.90,fire_frame_370.jpg,35.145700,-111.646300
371,DRONE-FLAME-01,0.87,0.90,,35.145710,-111.646290
372,DRONE-FLAME-01,0.72,0.90,,35.145720,-111.646280
373,DRONE-FLAME-01,0.89,0.90,,35.145730,-111.646270
374,DRONE-FLAME-01,0.71,0.90,,35.145740,-111.646260
375,DRONE-FLAME-01,0.82,0.90,,35.145750,-111.646250
376,DRONE-FLAME-01,0.74,0.90,,35.145760,-111.646240
377,DRONE-FLAME-01,0.87,0.90,,35.145770,-111.646230
378,DRONE-FLAME-01,0.86,0.90,,35.145780,-111.646220
379,DRONE-FLAME-01,0.89,0.90,,35.145790,-111.646210
380,DRONE-FLAME-01,0.72,0.90,fire_frame_380.jpg,35.145800,-111.646200
381,DRONE-FLAME-01,0.82,0.90,,35.145810,-111.646190
382,DRONE-FLAME-01,0.70,0.90,,35.145820,-111.646180
383,DRONE-FLAME-01,0.88,0.90,,35.145830,-111.646170
384,DRONE-FLAME-01,0.85,0.90,,35.145840,-111.646160
385,DRONE-FLAME-01,0.79,0.90,,35.145850,-111.646150
386,DRONE-FLAME-01,0.75,0.90,,35.145860,-111.646140
387,DRONE-FLAME-01,0.74,0.90,,35.145870,-111.646130
388,DRONE-FLAME-01,0.75,0.90,,35.145880,-111.646120
389,DRONE-FLAME-01,0.79,0.90,,35.145890,-111.646110
390,DRONE-FLAME-01,0.86,0.90,fire_frame_390.jpg,35.145900,-111.646100
391,DRONE-FLAME-01,0.80,0.90,,35.145910,-111.646090
392,DRONE-FLAME-01,0.70,0.90,,35.145920,-111.646080
393,DRONE-FLAME-01,0.76,0.90,,35.145930,-111.646070
394,DRONE-FLAME-01,0.72,0.90,,35.145940,-111.646060
395,DRONE-FLAME-01,0.72,0.90,,35.145950,-111.646050
396,DRONE-FLAME-01,0.74,0.90,,35.145960,-111.646040
397,DRONE-FLAME-01,0.78,0.90,,35.145970,-111.646030
398,DRONE-FLAME-01,0.75,0.90,,35.145980,-111.646020
399,DRONE-FLAME-01,0.83,0.90,,35.145990,-111.646010
400,DRONE-FLAME-01,0.30,0.00,,35.146000,-111.646000
401,DRONE-FLAME-01,0.30,0.00,,35.146010,-111.645990
402,DRONE-FLAME-01,0.30,0.00,,35.146020,-111.645980
